StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q21,Age,Gender,Gender_4_TEXT,Employment status,Nationality,Q14,Birth country,Q24,Q25,Q16,Q31,Q33,Q41,Q47,Q49,Q51,Q53,Q21_1
2024-03-25 20:14:32,2024-03-25 20:44:22,IP Address,96,1790,False,2024-04-01 21:44:23,R_27D03rctP5QRjy8,anonymous,EN,Yes,1997,Prefer not to say,,Student,Netherlands,No,,,,,,Very negative,Unsure/difficult to say,,Unsure/difficult to say,,,Extreme Left
2024-03-26 09:55:56,2024-03-26 09:58:22,IP Address,79,145,False,2024-04-02 10:58:28,R_5zG4zPvSc821zJJ,anonymous,EN,Yes,1994,Female,,Working full-time,Italy,No,,,,,,,,,,Very negative,,
2024-04-02 10:59:43,2024-04-02 11:02:40,IP Address,100,176,True,2024-04-02 11:02:41,R_2qI1kFvJ2BIX4tU,anonymous,EN,Yes,2001,Female,,Student,Austria,No,,,,,,Negative,Very positive,,,Very negative,,Left
2024-04-02 11:05:38,2024-04-02 11:11:22,IP Address,100,343,True,2024-04-02 11:11:22,R_7IfR0yzM21Afk45,anonymous,EN,Yes,2004,Female,,Student,Russian Federation,Yes,Lithuania,No,,Positive,,,,,Unsure/difficult to say,Unsure/difficult to say,,Right
2024-04-02 11:09:07,2024-04-02 11:15:31,IP Address,100,384,True,2024-04-02 11:15:32,R_6QhsYN5MBylyF4l,anonymous,EN,Yes,2003,Female,,Student,Italy,No,,,,,,Unsure/difficult to say,Negative,,,,Positive,Left
2024-03-26 12:13:59,2024-03-26 12:17:39,IP Address,96,220,False,2024-04-02 13:17:41,R_1LZDCtZZtRiiQp0,anonymous,EN,Yes,1974,Female,,Working part-time,Netherlands,No,,,,,,Negative,Negative,,,Very negative,,Left Leaning
2024-03-26 12:19:09,2024-03-26 12:22:36,IP Address,96,206,False,2024-04-02 13:22:42,R_1RkunYXXOoSdZn3,anonymous,EN,Yes,2001,Female,,Other,Netherlands,No,,,,Negative,,,,Negative,,,Unsure/difficult to say,Left
2024-03-26 14:27:20,2024-04-02 13:29:11,IP Address,100,597711,True,2024-04-02 13:29:12,R_3JK0W1l4C1W58f4,anonymous,EN,Yes,2005,Male,,Working part-time,Netherlands,No,,,,,,,,Negative,,Very negative,Negative,Left Leaning
2024-03-26 12:38:44,2024-03-26 12:48:21,IP Address,96,576,False,2024-04-02 13:48:21,R_80NwdN4Eb9jFJjY,anonymous,EN,Yes,1991,Female,,Working full-time,Netherlands,No,,,,Negative,,,Positive,Unsure/difficult to say,,,,Left
2024-03-26 13:49:40,2024-03-26 13:51:50,IP Address,79,130,False,2024-04-02 14:51:52,R_6CN6pMOuu1YAzDZ,anonymous,EN,Yes,2004,Female,,Student,Poland,Yes,Viet Nam,No,,,,,,,,,Positive,
2024-04-02 14:56:35,2024-04-02 15:00:15,IP Address,100,220,True,2024-04-02 15:00:16,R_14cProc1kGyw5uo,anonymous,EN,Yes,2003,Male,,Student,Germany,No,,,,,Unsure/difficult to say,Very negative,,,,,Negative,Left Leaning
2024-04-02 18:06:25,2024-04-02 18:09:35,IP Address,100,190,True,2024-04-02 18:09:36,R_21hALV9xETNfLzE,anonymous,EN,Yes,2004,Male,,Working part-time,France,Yes,United Kingdom of Great Britain and Northern Ireland,No,,,,,,Unsure/difficult to say,,Negative,Positive,Left Leaning
2024-04-02 18:55:18,2024-04-02 19:13:28,IP Address,100,1090,True,2024-04-02 19:13:29,R_3OB7EEdEQ1NGgOL,anonymous,EN,Yes,2000,Female,,Working full-time,France,No,,,,,,,Very negative,Unsure/difficult to say,,,Very positive,Left Leaning
2024-04-02 10:36:32,2024-04-02 10:43:07,IP Address,79,395,False,2024-04-09 10:43:09,R_6N8NP7ZMmrVVoE1,anonymous,EN,Yes,2000,Female,,Student,Germany,No,,,,Unsure/difficult to say,,,,,,,,
2024-04-02 11:04:09,2024-04-02 11:08:53,IP Address,96,283,False,2024-04-09 11:08:59,R_70SZNL6kdkyd9oh,anonymous,EN,Yes,1999,Male,,Working full-time,Germany,No,,,,Unsure/difficult to say,,,,,Very positive,Very negative,,No Political Affiliation
2024-04-02 11:16:39,2024-04-02 11:17:45,IP Address,71,65,False,2024-04-09 11:17:47,R_2tseUFTTXTekjvj,anonymous,EN,Yes,2002,Male,,Working full-time,Germany,Yes,United Kingdom of Great Britain and Northern Ireland,No,,,,,,,,,,
2024-04-02 11:15:49,2024-04-02 11:19:40,IP Address,96,230,False,2024-04-09 11:19:41,R_5j8tFA2EI7uhHzO,anonymous,EN,Yes,2002,Female,,Working part-time,Spain,Yes,United Kingdom of Great Britain and Northern Ireland,Yes,United States of America,,,,Positive,,,Very negative,Unsure/difficult to say,Extreme Left
2024-04-02 12:26:36,2024-04-02 12:32:11,IP Address,86,334,False,2024-04-09 12:32:12,R_5TuL3LBDI8rWY93,anonymous,EN,Yes,1968,Female,,Other,Germany,No,,,,,Unsure/difficult to say,,,,Very positive,,,
2024-04-02 12:57:33,2024-04-02 12:58:48,IP Address,79,74,False,2024-04-09 12:58:53,R_2gTlWRYsWemMDDG,anonymous,EN,Yes,2002,Male,,Working part-time,Germany,No,,,,,,,,,,,Positive,
2024-04-02 13:02:33,2024-04-02 13:03:45,IP Address,71,71,False,2024-04-09 13:03:48,R_7ZZUv9iruSFfq1B,anonymous,EN,Yes,2002,Female,,Working full-time,United States of America,No,,,,,,,,,,,,
2024-04-02 13:17:46,2024-04-02 13:18:01,IP Address,11,15,False,2024-04-09 13:18:05,R_2kZaszSikjxpEVD,anonymous,EN,Yes,2001,,,,,,,,,,,,,,,,,
2024-04-09 14:50:34,2024-04-09 14:54:29,IP Address,100,235,True,2024-04-09 14:54:30,R_2K8fiblg8fJKg2V,anonymous,EN,Yes,06-02-2000,Male,,Working part-time,Italy,No,,,,,,,,,Positive,Very negative,Unsure/difficult to say,Center
2024-04-09 16:16:57,2024-04-09 16:26:26,IP Address,100,568,True,2024-04-09 16:26:27,R_5WvyM4cUsWP0P9E,anonymous,EN,Yes,2003,Prefer not to say,,Student,Germany,No,,,,,Unsure/difficult to say,Negative,,,,,Very positive,Left
2024-04-02 18:48:55,2024-04-02 18:50:12,IP Address,71,76,False,2024-04-09 18:59:33,R_1HuI7TRVEnMmFAR,anonymous,EN,Yes,2000,Female,,Working part-time,Netherlands,No,,,,,,,,,,,,
2024-04-11 12:35:01,2024-04-11 12:40:40,IP Address,100,338,True,2024-04-11 12:40:40,R_8tGRn97c6hnOzQt,anonymous,EN,Yes,2004,Male,,Working part-time,Canada,No,,,,,Negative,,Positive,,,,Very positive,Extreme Left
2024-04-11 12:40:24,2024-04-11 12:50:37,IP Address,100,612,True,2024-04-11 12:50:38,R_12RZauK0gjhA5he,anonymous,EN,Yes,2000,Female,,Student,Finland,No,,,,Unsure/difficult to say,,,,,Positive,,Unsure/difficult to say,Left
2024-04-11 12:51:17,2024-04-11 13:01:12,IP Address,100,594,True,2024-04-11 13:01:12,R_2DSZe1bNIAuJkFH,anonymous,EN,Yes,2002,Female,,Working part-time,Poland,No,,,,,Positive,,,Unsure/difficult to say,,,Positive,Center
2024-04-11 13:15:01,2024-04-11 13:17:49,IP Address,100,168,True,2024-04-11 13:17:50,R_25ur3BzgcfuoLsk,anonymous,EN,Yes,2003,Male,,Student,Netherlands,No,,,,,,Very negative,,Positive,,Very negative,,Left Leaning
2024-04-11 13:34:01,2024-04-11 13:34:09,IP Address,100,8,True,2024-04-11 13:34:10,R_7JCT9PyDZWYDRPC,anonymous,EN,No,,,,,,,,,,,,,,,,,,
2024-04-11 14:11:54,2024-04-11 14:13:56,IP Address,100,122,True,2024-04-11 14:13:57,R_5TgzniCEDXcKpTr,anonymous,EN,Yes,2005,Male,,Student,Netherlands,Yes,Israel,No,,Very positive,Positive,,,Positive,,,,Left Leaning
2024-04-11 17:50:00,2024-04-11 17:53:33,IP Address,100,212,True,2024-04-11 17:53:33,R_5SaVonXfDLnbmQp,anonymous,EN,Yes,2005,Male,,Student,Ireland,Yes,United Kingdom of Great Britain and Northern Ireland,Yes,Netherlands,,,Very negative,,,,Very negative,Positive,Left
2024-04-15 11:10:30,2024-04-15 11:12:23,IP Address,100,113,True,2024-04-15 11:12:24,R_2fiqzshKKcOL5cZ,anonymous,EN,Yes,2002,Male,,Working part-time,Lithuania,No,,,,Very positive,,,,Positive,,,Very positive,Left
2024-04-09 14:52:36,2024-04-09 14:56:14,IP Address,96,218,False,2024-04-16 14:56:19,R_2Ed54AEJd83ki1j,anonymous,EN,Yes,2002,Female,,Working part-time,South Korea,No,,,,Positive,Positive,Negative,,,,,,Left Leaning
2024-04-11 12:25:50,2024-04-11 12:26:57,IP Address,71,67,False,2024-04-18 12:27:03,R_6jPsuWRIJFb6bI1,anonymous,EN,Yes,2002,Male,,Student,Germany,No,,,,,,,,,,,,
2024-04-11 12:51:26,2024-04-11 12:55:59,IP Address,79,273,False,2024-04-18 12:56:01,R_4ouvBpuZXSOK4tT,anonymous,EN,Yes,2005,Female,,Student,India,No,,,,,Unsure/difficult to say,,,,,,,
2024-04-11 13:05:01,2024-04-11 13:06:58,IP Address,96,117,False,2024-04-18 13:06:59,R_50kJBSMhi35VsnG,anonymous,EN,Yes,1998,Female,,Student,India,Yes,Netherlands,Yes,United Arab Emirates,,,Negative,,,Positive,,Unsure/difficult to say,Left
2024-04-11 11:43:34,2024-04-11 13:52:28,IP Address,79,7734,False,2024-04-18 13:52:34,R_14klrvDA7PsDS6E,anonymous,EN,Yes,2002,Female,,Student,Finland,Yes,Netherlands,No,,,,,Positive,,,,,
2024-04-11 15:54:11,2024-04-11 15:55:32,IP Address,71,81,False,2024-04-18 15:55:39,R_7TRHRkAg5oKMq3L,anonymous,EN,Yes,2005,Female,,Student,Netherlands,Yes,Switzerland,No,,,,,,,,,,
2024-04-20 14:49:22,2024-04-20 14:53:50,IP Address,100,268,True,2024-04-20 14:53:51,R_2gTmQGkNZkV2i4z,anonymous,EN,Yes,1965,Male,,Other,Netherlands,Yes,Italy,No,,Positive,,,,,Positive,,Positive,Left Leaning
2024-04-20 14:49:26,2024-04-20 14:57:30,IP Address,100,483,True,2024-04-20 14:57:30,R_8qXoelcWUbkggTE,anonymous,EN,Yes,1940,Male,,Retired,Netherlands,No,,,,Positive,,,,Very positive,Positive,,,Left
2024-04-20 18:29:25,2024-04-20 18:39:36,IP Address,100,610,True,2024-04-20 18:39:36,R_2TH9tX7jSnFzVRQ,anonymous,EN,Yes,25-12-1994,Male,,Working full-time,Netherlands,No,,,,Positive,Positive,,,,,,Very positive,Right
2024-04-20 20:42:55,2024-04-20 20:57:44,IP Address,100,889,True,2024-04-20 20:57:45,R_5AEd4EvwjKhWviI,anonymous,EN,Yes,1968,Female,,Working full-time,Netherlands,Yes,Italy,No,,Positive,Unsure/difficult to say,,,Unsure/difficult to say,,,,Left
2024-04-21 09:34:24,2024-04-21 09:37:06,IP Address,100,161,True,2024-04-21 09:37:06,R_7thZ2OxRHjl6xRD,anonymous,EN,Yes,1971,Female,,Working full-time,Netherlands,No,,,,Positive,Very negative,,,,,Unsure/difficult to say,,Right
2024-04-14 16:36:49,2024-04-14 16:38:05,IP Address,79,75,False,2024-04-21 16:38:07,R_7MWJDsW5BPfuamt,anonymous,EN,Yes,2005,Female,,Working part-time,Poland,No,,,,,,Negative,,,,,,
